data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6270310,466,MLI2518,2518,13 December 2018,2018,1,Violence against civilians,Attack,Dan Na Ambassagou,,4,Civilians (Mali),Fulani Ethnic Group (Mali),7,47,Western Africa,Mali,Mopti,Bankass,Baye,Baye,13.6226,-3.3705,2,HRW,Other,"On December 13, Dan Na Ambassagou militiamen killed a dozen Fulani civilians in the village of Mora (coded as Ouro at geprecision 2).",12,1572403722,MLI
6131970,466,MLI2502,2502,12 December 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Mopti,Tenenkou,Matomo,Toye,14.0805,-4.9277,2,Whatsapp,New media,"On December 12, unknown gunmen attacked marketgoers in the area of Toye, six killed and six wounded.",6,1571164648,MLI
6230376,466,MLI2501,2501,12 December 2018,2018,2,Violence against civilians,Attack,Islamic State (Greater Sahara),,2,Civilians (Mali),Dawsahak Ethnic Group (Mali),7,27,Western Africa,Mali,Gao,Menaka,Menaka,Tissalatene,15.4898,2.553,2,Reuters; Studio Tamani; RFI; Kibaru,National-International,"On December 11-12, presumed ISGS militants attacked Dawsahak camps in the area west of Tin Abaw and in Tabenkout-Tissalatene (respectively coded as Tin Abaw and Tissalatene at geoprecision 2), killing at least 42 individuals and wounding 3 others, fatalities split between events, grassland was also set blaze before the assailants withdrew toward the Nigerien border.",21,1572403609,MLI
6269572,466,MLI2516,2516,12 December 2018,2018,1,Violence against civilians,Attack,Dan Na Ambassagou,,4,Civilians (Mali),Fulani Ethnic Group (Mali),7,47,Western Africa,Mali,Mopti,Bankass,Baye,Baye,13.6226,-3.3705,2,HRW,Other,"On December 12, Dan Na Ambassagou militiamen killed seven Fulani civilians in the village of Kare (Gari).",7,1572403721,MLI
6073281,466,MLI2517,2517,12 December 2018,2018,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,Katiba Serma,2,Civilians (Mali),,7,27,Western Africa,Mali,Mopti,Douentza,Haire,Boni,15.0766,-2.2198,2,Kisal,New media,"On December 10, presumed Katiba Serma (JNIM) abducted a civilian in Nokara.",0,1571164566,MLI
6230375,466,MLI2498,2498,11 December 2018,2018,2,Violence against civilians,Attack,Islamic State (Greater Sahara),,2,Civilians (Mali),Dawsahak Ethnic Group (Mali),7,27,Western Africa,Mali,Gao,Menaka,Menaka,Tin Abaw,15.7442,2.5081,2,Kibaru; Studio Tamani; Reuters; RFI,National-International,"On December 11-12, presumed ISGS militants attacked Dawsahak camps in the area west of Tin Abaw and in Tabenkout-Tissalatene (respectively coded as Tin Abaw and Tissalatene at geoprecision 2), killing at least 42 individuals and wounding 3 others, fatalities split between events, grassland was also set blaze before the assailants withdrew toward the Nigerien border.",21,1572403609,MLI
6070130,466,MLI2496,2496,10 December 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),Tuareg Ethnic Group (Mali),7,37,Western Africa,Mali,Mopti,Douentza,Hombori,Drougama,15.3104,-2.168,1,Facebook,New media,"On December 10, unknown gunmen aboard motorbikes assassinated a village chief of the Ikorchatan (Bellah) community and his three sons in Drougama.",4,1571164561,MLI
6747633,466,MLI2473,2473,06 December 2018,2018,1,Violence against civilians,Attack,Dozo Militia,Bambara Ethnic Group (Mali),4,Civilians (Mali),Fulani Ethnic Group (Mali),7,47,Western Africa,Mali,Segou,Niono,Toridaga,Kelessere,14.3638,-5.695,1,Jeunesse Tabital Pulaaku; Menastream,Local partner-New media,"On December 6, Bambara militiamen killed six members of the Fulani community in Kelessere.",6,1579637358,MLI
6747634,466,MLI2474,2474,06 December 2018,2018,1,Violence against civilians,Attack,Dozo Militia,Bambara Ethnic Group (Mali),4,Civilians (Mali),Fulani Ethnic Group (Mali),7,47,Western Africa,Mali,Mopti,Tenenkou,Diafarabe,Mamba,14.0777,-4.9844,1,Menastream; Jeunesse Tabital Pulaaku,Local partner-New media,"On December 6, Bambara militiamen attacked the village of Mamba, killing seven members of the Fulani community.",7,1579637358,MLI
6269626,466,MLI2514,2514,05 December 2018,2018,1,Violence against civilians,Attack,Dan Na Ambassagou,,4,Civilians (Mali),Fulani Ethnic Group (Mali),7,47,Western Africa,Mali,Mopti,Bankass,Lessagou Habbe,Lessogou,13.8118,-3.6026,2,HRW,Other,"On December 5, Dan Na Ambassagou militiamen surrounded the village Lessagou-Peuhl (coded as Lessogou at geoprecision 2) overwhelming the small self-defense group, and then killing 15 villagers. Coded as two separate events (one battle, one VAC).",15,1572403721,MLI
